,Temp,dtheoretical,dwet,0,1,2,3,8
25902009,4,7.28,7.33,6.23,5.5,6.5,5.67,5.5
25902009,4,7.28,6.5,6.5,6.5,5.67,6.5,5.5
25902009,25,7.28,6.67,3.5,3.5,4.33,4.5,2.5
25902009,25,7.28,6.75,4.33,3.5,4.5,4.33,2.33
25902009,35,7.28,6.33,2.67,2.5,NA,1.67,NA
25902009,35,7.28,6.75,3.33,2.5,2.25,1.67,NA
2099,4,5.67,6.25,4.75,4.83,5.5,5.5,5.5
2099,4,5.67,6.33,5.33,5.5,5.33,6.5,4.67
2099,25,5.67,5.67,4.23,4.5,2.75,3.5,3.33
2099,25,5.67,5.5,4.77,3.67,3.75,4.5,1.67
2099,35,5.67,5.67,3.5,3.5,2.23,1.67,NA
2099,35,5.67,6.25,3.5,2.33,NA,NA,NA
