"","V1","V2","V3"
"1","Argentina",-38.416097,-63.616672
"2","Australia",-25.274398,133.775136
"3","Austria",47.516231,14.550072
"4","Belarus",53.709807,27.953389
"5","Belgium",50.503887,4.469936
"6","Brazil",-14.235004,-51.92528
"7","Bulgaria",42.733883,25.48583
"8","Cambodia",12.565679,104.990963
"9","Cameroon",7.369722,12.354722
"10","Canada",56.130366,-106.346771
"11","Chile",-35.675147,-71.542969
"12","China",35.86166,104.195397
"13","Colombia",4.570868,-74.297333
"14","Costa Rica",9.748917,-83.753428
"15","Croatia",45.1,15.2
"16","Cuba",21.521757,-77.781167
"17","Czech Republic",49.817492,15.472962
"18","Denmark",56.26392,9.501785
"19","Dominican Republic",18.735693,-70.162651
"20","Egypt",26.820553,30.802498
"21","El Salvador",13.794185,-88.89653
"22","Estonia",58.595272,25.013607
"23","Finland",61.92411,25.748151
"24","France",46.227638,2.213749
"25","French Guiana",3.933889,-53.125782
"26","Germany",51.165691,10.451526
"27","Ghana",7.946527,-1.023194
"28","Greece",39.074208,21.824312
"29","Honduras",15.199999,-86.241905
"30","Iceland",64.963051,-19.020835
"31","India",20.593684,78.96288
"32","Indonesia",-0.789275,113.921327
"33","Ireland",53.41291,-8.24389
"34","Israel",31.046051,34.851612
"35","Italy",41.87194,12.56738
"36","Jamaica",18.109581,-77.297508
"37","Japan",36.204824,138.252924
"38","Kazakhstan",48.019573,66.923684
"39","Kenya",-0.023559,37.906193
"40","Kyrgyzstan",41.20438,74.766098
"41","Latvia",56.879635,24.603189
"42","Luxembourg",49.815273,6.129583
"43","Madagascar",-18.766947,46.869107
"44","Malaysia",4.210484,101.975766
"45","Mexico",23.634501,-102.552784
"46","Mongolia",46.862496,103.846656
"47","Morocco",31.791702,-7.09262
"48","Netherlands",52.132633,5.291266
"49","New Caledonia",-20.904305,165.618042
"50","New Zealand",-40.900557,174.885971
"51","Niger",17.607789,8.081666
"52","Norway",60.472024,8.468946
"53","Oman",21.512583,55.923255
"54","Pakistan",30.375321,69.345116
"55","Panama",8.537981,-80.782127
"56","Paraguay",-23.442503,-58.443832
"57","Peru",-9.189967,-75.015152
"58","Philippines",12.879721,121.774017
"59","Poland",51.919438,19.145136
"60","Portugal",39.399872,-8.224454
"61","Romania",45.943161,24.96676
"62","Senegal",14.497401,-14.452362
"63","Singapore",1.352083,103.819836
"64","Slovakia",48.669026,19.699024
"65","Slovenia",46.151241,14.995463
"66","South Africa",-30.559482,22.937506
"67","Spain",40.463667,-3.74922
"68","Sri Lanka",7.873054,80.771797
"69","Sweden",60.128161,18.643501
"70","Switzerland",46.818188,8.227512
"71","Thailand",15.870032,100.992541
"72","Tunisia",33.886917,9.537499
"73","Turkey",38.963745,35.243322
"74","Uganda",1.373333,32.290275
"75","Ukraine",48.379433,31.16558
"76","United Kingdom",55.378051,-3.435973
"77","Uruguay",-32.522779,-55.765835
"78","Vietnam",14.058324,108.277199
