"","V1","V2"
"1","Argentina",44938712
"2","Australia",25364307
"3","Austria",8877067
"4","Belarus",9466856
"5","Belgium",11484055
"6","Brazil",211049527
"7","Bulgaria",6975761
"8","Cambodia",16486542
"9","Cameroon",25876380
"10","Canada",37589262
"11","Chile",18952038
"12","China",1397715000
"13","Colombia",50339443
"14","Costa Rica",5047561
"15","Croatia",4067500
"16","Cuba",11333483
"17","Czech Republic",10669709
"18","Denmark",5818553
"19","Dominican Republic",10738958
"20","Egypt, Arab Rep.",100388073
"21","El Salvador",6453553
"22","Estonia",1326590
"23","Finland",5520314
"24","France",67059887
"25","Germany",83132799
"26","Ghana",30417856
"27","Greece",10716322
"28","Honduras",9746117
"29","Iceland",361313
"30","India",1366417754
"31","Indonesia",270625568
"32","Ireland",4941444
"33","Israel",9053300
"34","Italy",60297396
"35","Jamaica",2948279
"36","Japan",126264931
"37","Kazakhstan",18513930
"38","Kenya",52573973
"39","Kyrgyz Republic",6456900
"40","Latvia",1912789
"41","Luxembourg",619896
"42","Madagascar",26969307
"43","Malaysia",31949777
"44","Mexico",127575529
"45","Mongolia",3225167
"46","Morocco",36471769
"47","Netherlands",17332850
"48","New Caledonia",287800
"49","New Zealand",4917000
"50","Niger",23310715
"51","Norway",5347896
"52","Oman",4974986
"53","Pakistan",216565318
"54","Panama",4246439
"55","Paraguay",7044636
"56","Peru",32510453
"57","Philippines",108116615
"58","Poland",37970874
"59","Portugal",10269417
"60","Romania",19356544
"61","Senegal",16296364
"62","Singapore",5703569
"63","Slovak Republic",5454073
"64","Slovenia",2087946
"65","South Africa",58558270
"66","Spain",47076781
"67","Sri Lanka",21803000
"68","Sweden",10285453
"69","Switzerland",8574832
"70","Thailand",69625582
"71","Tunisia",11694719
"72","Turkey",83429615
"73","Uganda",44269594
"74","Ukraine",44385155
"75","United Kingdom",66834405
"76","Uruguay",3461734
"77","Vietnam",96462106
